x,y
-1.29,0.06
3.18,0.03
-0.04,0.14
4.31,0.88
-1.48,0.09
-4.52,0.20
2.32,0.92
0.17,0.43
0.20,0.49
3.60,0.97
-1.04,0.06
3.27,0.49
-0.86,0.67
4.41,0.59
2.19,0.82
2.49,0.87
-4.75,0.47
-3.19,0.36
0.80,0.36
-1.22,0.83
1.75,0.68
2.36,0.21
-4.44,0.94
4.16,0.42
-0.29,0.32
3.20,0.07
2.63,0.87
1.35,0.86
0.88,0.23
2.15,0.01
2.05,0.62
-3.09,0.61
2.12,0.13
4.12,0.26
-3.18,0.56
1.06,0.95
3.14,0.84
-3.59,0.24
3.48,0.18
-0.83,0.03
2.49,1.00
-4.14,0.37
2.24,0.93
0.33,0.48
-0.05,0.13
3.47,0.94
4.63,0.41
2.43,0.97
-3.19,0.40
-2.03,0.14
0.76,0.67
0.97,0.37
-3.14,0.79
4.16,0.69
4.08,0.36
3.23,0.96
4.51,0.42
-3.27,0.93
2.21,0.58
-1.37,0.70
-1.35,0.96
4.37,0.36
-1.34,0.37
2.19,0.26
0.15,0.64
2.08,0.90
-3.44,0.21
-3.98,0.33
2.28,0.80
4.29,0.42
-1.97,0.87
1.13,0.19
-3.22,0.33
-4.09,0.59
-2.07,0.33
4.39,0.25
2.10,0.71
-4.23,0.34
-2.34,0.72
-0.20,0.56
4.53,0.50
0.76,0.71
2.22,0.99
-1.11,0.27
-1.00,0.44
-4.63,0.86
-3.36,0.70
4.16,0.65
3.51,0.11
2.36,0.98
-2.13,0.20
-3.20,0.39
-4.54,0.03
-3.13,0.95
2.06,0.02
-3.62,0.71
-4.58,0.29
-4.37,0.75
2.13,0.94
-0.35,0.43
1.08,0.79
4.54,0.27
1.39,0.89
-2.43,0.72
4.46,0.09
0.15,0.75
-2.05,0.48
0.97,0.26
-1.94,0.94
3.18,0.49
-1.87,0.17
-2.05,0.76
-0.17,0.72
2.37,0.16
2.42,0.86
-2.09,0.96
2.17,0.45
4.59,0.29
4.46,0.21
-1.97,0.99
-2.28,0.09
4.25,0.38
-4.49,0.32
-3.35,0.70
0.03,0.22
1.05,0.31
4.29,0.92
-0.33,0.09
3.75,0.10
1.04,0.63
-4.46,0.16
-2.46,0.30
2.02,0.78
0.97,0.12
-1.00,0.17
1.44,0.43
1.97,0.26
-0.26,0.86
-0.99,0.44
-0.90,0.33
-2.45,0.86
0.34,0.82
-3.13,0.69
2.21,0.95
-0.30,0.59
-3.40,0.89
-0.66,0.86
-2.33,0.89
0.01,0.85
4.28,0.40
-4.68,0.38
-3.48,0.82
4.83,0.17
-2.46,0.90
-4.25,0.77
-4.15,0.06
3.67,0.21
-2.48,0.75
3.03,0.76
0.97,0.43
2.33,0.08
-4.59,0.11
-0.34,0.62
-1.20,0.96
-3.59,0.98
-1.14,0.12
3.64,0.96
4.75,0.17
-4.80,0.81
-1.34,0.47
-3.09,0.45
-3.12,0.57
1.07,0.21
2.27,0.59
-3.21,0.08
3.53,0.19
-0.75,0.12
2.13,0.69
1.05,0.70
3.23,0.63
-2.42,0.11
4.58,0.90
2.94,0.90
-2.34,0.13
-1.13,0.02
-3.18,0.75
3.39,0.74
3.24,0.99
2.13,0.15
3.54,0.31
-3.06,0.78
2.22,0.64
-4.42,0.67
-1.00,0.68
-1.40,0.08
2.23,0.29
4.14,0.55
-2.26,0.98
-4.24,0.59
4.56,0.09
3.42,0.51
-3.48,0.03
-3.37,0.99
1.31,0.31
-2.14,0.29
-4.56,0.91
-1.08,0.82
2.04,0.26
2.30,0.78
2.52,0.07
4.43,0.59
-3.24,0.50
-0.17,0.26
3.32,0.81
2.00,0.77
-3.08,0.64
3.12,0.09
3.27,0.04
3.17,0.94
2.95,0.30
-1.21,0.79
0.98,0.35
-2.92,0.69
0.90,0.34
-3.10,0.20
4.50,0.90
4.49,0.28
2.18,0.84
-0.83,0.97
-0.02,0.83
2.27,0.33
4.42,0.99
-4.39,0.88
-1.13,0.77
2.15,0.44
-3.44,0.61
-1.96,0.04
2.33,0.76
-2.50,0.79
-2.20,0.31
4.28,0.23
4.14,0.32
3.34,0.41
0.12,0.22
3.27,0.62
0.90,0.45
-1.02,0.69
4.59,0.11
4.37,0.65
-3.35,0.59
-0.78,0.60
2.53,0.68
4.83,0.93
-4.29,0.41
-3.22,0.59
1.77,0.38
3.32,0.22
-2.92,0.67
2.07,0.47
3.60,0.34
-4.51,0.64
-0.38,0.08
-3.26,0.82
2.33,0.02
-3.53,0.56
0.93,0.70
-4.19,0.40
3.25,0.35
4.31,0.44
4.36,0.02
-4.47,0.42
-1.26,0.66
-4.82,0.29
-1.32,0.83
-0.78,0.19
4.41,0.31
4.34,0.41
2.14,0.23
3.16,0.51
-3.31,0.08
-3.30,0.72
4.34,0.07
0.97,0.77
-0.34,0.50
-2.32,0.19
-4.40,0.96
1.16,0.64
-4.32,0.89
3.41,0.51
3.47,0.01
-1.44,0.07
1.10,0.53
-0.21,0.48
-1.32,0.20
-0.21,0.58
0.82,0.32
3.35,0.45
1.33,0.41
3.42,0.30
-2.34,0.53
-2.20,0.79
4.21,0.91
1.09,0.83
2.14,0.59
-2.24,0.93
-4.53,0.90
4.04,0.04
3.35,0.39
3.42,0.16
-0.92,0.17
4.28,0.74
-0.93,0.50
-2.37,0.03
0.81,0.70
0.83,0.42
2.00,0.97
2.08,0.15
-4.37,0.21
4.55,0.99
4.82,0.27
4.23,0.74
1.06,0.76
4.75,0.44
-2.35,0.74
3.19,0.81
-1.15,0.14
-1.05,0.45
-0.21,0.50
-4.20,0.57
2.38,0.86
1.22,0.35
1.28,0.82
4.11,0.30
3.11,0.68
1.94,0.62
-1.02,0.62
0.37,0.39
3.30,0.97
2.18,0.67
3.52,0.49
4.08,0.52
-2.68,0.36
-4.42,0.56
3.31,0.61
3.34,0.11
-2.32,0.47
1.07,0.09
4.68,0.75
2.13,0.81
1.13,0.68
0.13,0.19
3.42,0.47
-3.44,0.88
-2.28,0.59
2.54,0.74
1.34,0.78
-3.18,0.07
-4.68,0.64
-2.27,0.15
-2.25,0.09
-4.63,0.63
-3.12,0.50
2.98,0.30
-3.10,0.29
-2.84,0.89
2.32,0.22
-2.34,0.53
-4.26,0.94
3.36,0.99
-4.47,0.08
1.49,0.75
-3.36,0.16
0.83,0.16
-0.04,0.20
0.95,0.51
-0.38,0.99
-0.95,0.39
2.44,0.51
2.07,0.51
-0.97,0.40
0.16,0.52
-1.01,0.22
-3.56,0.11
-4.71,0.48
2.10,0.35
3.04,0.29
0.84,0.94
-0.07,0.62
-4.53,0.06
-1.99,0.34
-4.60,0.64
-2.08,0.85
-3.54,0.43
4.53,0.50
2.21,0.26
-3.29,0.80
-1.96,0.61
-1.10,0.26
0.82,0.11
-3.06,0.13
-4.42,0.73
4.40,0.00
-2.66,0.67
1.03,0.08
-2.22,0.64
2.49,0.68
-2.97,0.26
-3.99,0.44
-0.97,0.52
-3.52,0.28
-0.02,0.38
1.31,0.88
-1.06,0.95
0.06,0.16
1.37,0.27
-3.59,0.04
3.13,0.14
-4.86,0.49
-3.37,0.38
-0.21,0.81
-3.63,0.90
-2.27,0.85
-2.18,0.25
-1.36,0.37
-3.24,0.90
-3.48,0.23
-0.79,0.05
-3.22,0.19
-2.21,0.42
-2.29,0.84
-1.36,0.28
-3.00,0.48
-4.58,0.54
-2.12,0.48
-0.39,0.62
-4.17,0.13
1.40,0.28
4.32,0.21
3.13,0.61
4.43,0.47
-0.37,0.79
3.40,0.86
-4.59,0.08
-3.26,0.59
2.05,0.03
4.07,0.72
2.27,0.49
4.34,0.06
2.14,0.99
-4.24,0.10
2.45,0.30
1.26,0.92
-3.42,0.41
4.38,0.13
2.34,0.58
-1.19,0.55
-0.95,0.32
-0.06,0.17
2.27,0.59
-1.01,0.17
-4.21,0.57
2.18,0.22
3.24,0.80
-3.40,0.82
-1.29,0.95
2.12,0.60
-1.87,0.64
-3.00,0.78
2.40,0.11
-3.28,0.59
0.11,0.60
2.53,0.25
1.10,0.04
4.26,0.70
-4.44,0.19
-3.54,0.89
-4.20,0.53
1.25,0.37
-4.42,0.34
0.95,0.45
4.19,0.84
-4.45,0.97
-4.16,0.05
1.20,0.53
-3.17,0.51
3.36,0.45
3.07,0.13
1.32,0.77
-3.45,0.32
3.36,0.12
3.36,0.14
-1.09,0.75
-2.49,0.59
-4.62,0.33
2.21,0.28
2.41,0.48
1.23,0.30
-2.89,0.76
-4.58,0.10
0.28,0.41
-3.48,0.71
3.30,0.90
1.10,0.54
-2.38,0.68
3.30,0.79
0.14,0.90
2.24,0.02
-0.01,0.80
-4.34,0.52
-3.72,0.55
2.17,0.07
-4.65,0.29
-3.27,0.48
-0.06,0.32
3.30,0.24
-3.00,0.60
4.29,0.18
0.26,0.70
-2.11,0.29
-2.44,0.13
-2.60,0.43
3.09,0.70
-0.28,0.69
2.04,0.39
-0.76,0.30
3.58,0.33
0.26,0.62
3.26,0.37
2.35,0.15
-4.60,0.13
-2.34,0.77
-4.37,0.28
-1.10,0.03
-1.01,0.49
3.39,0.74
-3.15,0.62
-1.85,0.60
-4.53,0.04
1.35,0.37
3.20,0.83
1.79,0.52
1.94,0.05
-3.67,0.16
0.92,0.11
-4.54,0.50
-0.19,0.24
4.45,0.60
-3.59,0.72
0.00,0.51
1.53,0.88
0.89,0.67
3.21,0.65
-3.33,0.18
4.33,0.69
-0.81,0.49
-0.12,0.50
1.16,0.09
2.31,0.20
-0.83,0.18
-2.06,0.04
-4.53,0.93
-0.84,0.25
-2.08,0.82
-3.15,0.28
1.11,0.48
-4.11,0.16
4.59,0.48
-0.13,0.26
1.07,0.21
-4.39,0.95
-2.98,0.90
3.32,0.62
4.10,0.66
-0.77,0.83
-3.53,0.19
1.07,0.98
-0.99,0.89
-3.96,0.23
-0.90,0.87
2.30,0.92
-1.86,0.79
-0.21,0.02
-4.37,0.83
2.21,0.18
-1.94,0.18
1.08,0.11
-1.10,0.19
4.28,0.16
4.06,0.96
-0.97,0.36
3.42,0.26
-0.36,0.59
0.13,0.38
1.39,0.29
1.09,0.25
-4.53,0.41
4.42,0.79
-3.17,0.29
-0.19,0.77
0.41,0.28
0.99,0.11
3.49,0.44
1.34,0.30
-0.06,0.84
1.24,0.78
-3.31,0.56
-1.31,0.58
2.13,0.37
-1.23,0.98
-3.32,0.38
3.12,0.27
-1.14,0.30
-3.21,0.18
-1.98,0.06
4.12,0.34
-1.30,0.99
-2.54,0.14
4.40,0.03
-4.18,0.21
-0.07,0.40
-1.17,0.12
-3.28,0.79
3.20,0.63
-2.48,0.68
-4.51,0.53
1.92,0.61
3.39,0.20
-4.63,0.99
3.19,0.58
-1.13,0.07
2.06,0.37
1.01,0.94
3.04,0.03
-1.31,0.11
4.22,0.94
-0.71,0.37
0.16,0.04
-2.20,0.55
1.95,0.47
-3.02,0.04
3.29,0.70
-2.23,0.88
-1.28,0.19
-4.38,0.78
0.07,0.22
1.23,0.51
-3.56,0.25
-2.37,0.52
-4.37,0.40
-1.14,0.49
-2.58,0.27
3.37,0.83
-4.15,0.71
-0.88,0.54
3.43,0.55
-1.17,0.93
3.45,0.67
-2.13,0.56
-0.21,0.23
4.48,0.86
-3.94,0.37
-0.21,0.79
2.56,0.86
4.44,0.56
-2.34,0.87
-3.35,0.47
3.38,0.16
-0.19,0.74
-4.46,0.58
1.42,0.53
4.44,0.22
3.07,0.68
-3.41,0.46
2.56,0.88
-3.13,0.26
-0.99,0.73
-2.34,0.81
-0.81,0.55
4.26,0.13
-0.12,0.41
0.40,0.99
-4.45,0.34
-0.68,0.70
0.01,0.87
4.27,0.67
-1.46,0.08
-4.46,0.90
-0.29,0.76
2.12,0.77
-1.37,0.48
-3.31,0.45
-4.24,0.21
-3.69,0.20
-1.20,0.59
-1.00,0.52
-4.43,0.29
-2.39,0.32
-0.18,0.56
-0.27,0.97
1.27,0.90
0.63,0.60
2.02,0.81
-4.26,0.95
-0.95,0.72
3.15,0.12
-0.26,0.63
3.51,0.70
-3.17,0.18
0.08,0.11
3.40,0.76
-2.94,0.08
-2.19,0.45
-3.29,0.19
2.07,0.25
4.25,0.77
1.06,0.27
-3.15,0.65
-4.43,0.14
-0.83,0.73
-2.97,0.86
-4.55,0.59
-0.07,0.32
4.43,0.08
4.56,0.44
-2.23,0.46
3.06,0.40
0.86,0.13
-4.39,0.97
3.21,0.64
-1.15,0.78
-1.26,0.21
3.34,0.91
-3.18,0.12
-1.18,0.43
0.95,0.95
2.22,0.68
2.45,0.47
-0.02,0.10
-4.03,0.45
3.49,0.14
3.08,0.84
-0.17,0.76
-1.32,0.22
-4.51,0.20
3.52,0.28
2.22,0.19
0.24,0.27
3.07,0.07
-2.00,0.82
1.08,0.35
3.21,0.09
1.12,0.35
1.19,0.03
1.04,0.31
-1.29,0.28
-3.27,0.36
-0.87,0.30
3.43,0.55
-3.18,0.45
4.18,0.66
0.33,0.91
0.98,0.09
-4.60,0.51
4.48,0.51
-3.32,0.50
3.41,0.19
4.18,0.03
3.38,0.75
-4.32,0.96
-3.23,0.86
-3.00,0.78
-3.18,0.71
4.57,0.86
0.88,0.35
0.02,0.82
4.04,0.95
4.52,0.05
4.46,0.55
0.26,0.13
-1.99,0.05
-0.13,0.38
4.42,0.96
-3.02,0.24
4.14,0.41
-3.38,0.03
-3.23,0.27
-4.63,0.98
-0.40,0.90
2.20,0.21
4.44,0.56
2.65,0.64
4.29,0.07
1.11,0.32
-0.94,0.44
-2.36,0.43
1.19,0.11
4.36,0.01
-4.50,0.22
2.44,0.49
-2.40,0.54
-0.94,0.74
1.35,0.63
0.02,0.36
-2.05,0.87
-1.02,0.60
-3.38,0.06
-4.59,0.97
-1.22,0.68
4.25,0.06
2.87,0.22
-4.45,0.16
-1.11,0.50
-0.34,0.68
2.25,0.78
0.09,0.21
0.89,0.47
-3.31,0.39
-3.18,0.09
0.07,0.92
4.14,0.14
-1.87,0.18
-0.39,0.39
-0.08,0.17
-0.98,0.66
3.42,0.59
1.35,0.81
-2.01,0.30
1.02,0.69
2.11,0.84
-2.35,0.82
0.97,0.44
-2.39,0.65
-0.97,0.33
-0.22,0.58
4.24,0.59
-0.13,0.84
-0.96,0.05
2.08,0.46
-2.11,0.22
2.28,0.99
4.25,0.35
4.11,0.35
4.37,0.83
-3.44,0.90
-0.86,0.99
-2.04,0.32
1.94,0.93
-1.32,0.16
1.22,0.67
-4.41,0.31
