x,y
0.84,0.31
-5.49,0.85
-3.25,0.68
-2.93,0.88
-3.66,0.74
3.79,0.34
5.07,0.53
-6.21,0.87
2.76,0.71
-6.85,0.12
6.96,0.11
6.07,0.46
6.74,0.56
5.62,0.98
6.49,0.41
5.68,0.28
5.89,0.34
2.75,0.27
3.75,0.82
3.22,0.44
5.59,0.18
0.25,0.09
4.03,0.89
-4.33,0.25
-4.18,0.64
-0.10,0.19
6.77,0.51
2.64,0.21
6.17,0.76
0.25,0.32
-6.29,0.14
-6.07,0.16
3.33,0.66
-5.80,0.39
0.64,0.55
-2.99,0.77
-6.60,0.63
-0.46,0.80
-6.42,0.67
-5.36,0.74
-2.80,0.22
2.28,0.78
2.98,0.14
-0.23,0.16
-2.57,0.38
3.29,0.12
6.48,0.66
-2.90,0.96
6.43,0.84
-3.15,0.08
0.10,0.18
-2.58,0.61
-6.53,0.28
6.15,0.16
-3.94,0.59
6.07,0.70
3.77,0.23
6.26,0.98
3.81,0.32
6.06,0.58
-2.40,0.82
-5.75,0.37
-2.36,0.14
-6.81,0.79
-6.00,0.80
3.01,0.11
-6.29,0.25
2.94,0.48
1.95,0.35
0.98,0.27
3.12,0.99
3.43,0.06
6.95,0.01
3.64,0.20
6.68,0.89
0.36,0.96
-3.16,0.61
6.58,0.22
6.22,0.91
3.21,0.96
6.01,0.31
6.06,0.86
-6.01,0.53
-3.72,0.71
0.29,0.25
-6.58,0.46
-5.97,0.17
3.28,0.02
-6.26,0.60
6.96,0.76
-6.36,0.57
-3.37,0.56
-2.88,0.60
-6.33,0.58
2.48,0.08
3.42,0.37
5.47,0.14
2.50,0.72
-6.92,0.05
3.31,0.74
-6.23,0.08
5.77,0.94
-6.23,0.34
-4.19,0.10
-0.18,0.48
6.87,0.08
2.58,0.78
2.50,1.00
2.69,0.37
3.51,0.15
6.60,0.17
-6.30,0.23
3.64,0.02
5.66,0.26
-0.53,0.75
6.27,0.29
2.64,0.15
6.47,0.38
-0.04,0.16
3.14,0.73
-2.97,0.31
-4.08,0.19
-6.67,0.39
-6.60,0.71
6.67,0.99
-4.16,0.14
-2.95,0.13
2.49,0.38
3.44,0.36
-3.58,0.66
0.20,0.60
-6.22,0.55
6.55,0.20
-0.55,0.87
-6.07,0.41
-3.33,0.25
6.20,0.66
-3.99,0.13
3.23,0.95
2.61,0.76
-6.57,0.94
3.45,0.28
3.04,0.80
2.15,0.89
2.76,0.94
6.31,0.24
6.63,0.51
-2.90,0.95
-5.62,0.67
6.79,0.25
4.90,0.22
2.74,0.94
-1.22,0.17
-5.96,0.30
-2.94,0.06
0.37,0.08
3.83,0.84
-6.23,0.93
3.71,0.20
-0.19,0.65
-6.68,0.75
-1.85,0.03
-3.24,0.92
6.97,0.42
-0.32,0.89
-0.32,0.63
5.95,0.48
5.74,0.95
-6.26,0.66
-3.57,0.32
3.23,0.53
2.58,0.44
-3.46,0.40
2.74,0.58
1.03,0.56
-0.28,0.81
5.83,0.69
3.43,0.59
-2.29,0.41
5.78,0.57
0.56,0.68
6.05,0.84
3.23,0.23
-6.86,0.50
6.29,0.86
2.61,0.59
3.62,0.13
-3.59,0.20
-2.37,0.81
-3.66,0.30
-3.19,0.15
-0.72,0.45
0.71,0.70
3.16,0.36
-6.29,0.26
-6.11,0.31
3.32,0.12
0.03,0.01
-2.58,0.02
-3.50,0.53
6.45,0.15
5.70,0.77
5.55,0.12
3.64,0.57
-4.06,0.86
3.56,0.05
3.20,0.83
-3.50,0.71
-6.78,0.99
2.84,0.39
6.33,0.80
0.10,0.41
5.63,0.83
-6.42,0.71
-3.32,0.06
-5.60,0.77
-2.59,0.65
-5.38,0.95
5.99,0.39
-2.87,0.18
-6.70,0.72
2.32,0.07
2.85,0.46
-0.03,0.76
5.51,0.08
-5.84,0.84
-5.23,0.71
5.72,0.88
6.23,0.72
-3.17,0.82
5.91,0.91
6.22,0.20
-6.85,0.18
5.99,0.62
3.10,0.01
-6.47,0.29
-5.37,0.40
0.36,0.54
3.68,0.06
5.57,0.41
-2.54,0.99
0.28,0.31
-3.53,0.53
-6.33,0.56
6.48,0.61
0.34,0.13
6.39,0.36
-1.15,0.86
-5.96,0.81
5.99,0.21
-6.23,0.34
3.41,0.40
-5.74,0.08
-3.92,0.58
6.97,0.54
-5.67,0.88
-3.84,0.53
5.68,0.02
5.56,0.25
0.43,0.41
-6.89,0.20
-2.91,0.52
5.83,0.57
-3.83,0.21
-2.91,0.25
-0.51,0.96
-2.58,0.57
-0.72,0.13
-0.38,0.85
6.80,0.52
-6.77,0.31
-5.00,0.75
6.54,0.36
-6.92,0.49
-2.57,0.62
3.58,0.12
-5.81,0.21
-6.34,0.59
-0.41,0.98
0.91,0.45
-3.08,0.26
3.05,0.54
6.72,0.81
6.80,0.10
4.38,0.43
3.05,0.96
6.91,0.29
5.88,0.29
3.16,0.67
-6.26,0.36
-2.46,0.10
-0.56,0.12
-3.48,0.49
-0.54,0.19
-6.53,0.38
6.65,0.49
2.77,0.61
6.41,0.24
2.62,0.07
-4.26,0.32
-0.29,0.46
6.62,0.81
-6.69,0.04
5.88,0.05
-5.77,0.73
0.58,0.40
-5.93,0.05
-6.13,0.64
2.77,0.50
-0.60,0.99
2.77,0.56
-6.51,0.81
-6.17,0.49
3.36,0.77
1.20,0.55
2.53,0.62
6.93,0.83
6.70,0.92
0.44,0.69
0.27,0.50
-2.51,0.81
5.93,0.28
-3.84,0.59
5.93,0.30
-2.61,0.99
2.91,0.79
6.72,0.00
-0.45,0.32
-3.88,0.11
-6.07,0.86
-0.90,0.64
3.71,0.76
-3.92,0.53
2.55,0.32
-2.50,0.27
-2.96,0.69
-6.60,0.23
-3.43,0.36
-6.87,0.12
6.71,0.44
-6.37,0.76
0.12,0.87
6.69,0.57
-2.10,0.38
2.80,0.59
6.28,0.48
-0.14,0.49
-3.77,0.22
-3.90,0.09
-3.75,0.96
-5.46,0.15
-5.68,0.92
-2.88,0.93
5.97,0.88
-2.69,0.63
3.55,0.54
-5.86,0.00
-5.95,1.00
-6.62,0.54
-2.98,0.47
-5.70,0.60
-4.21,0.60
-6.30,0.53
6.95,0.56
0.67,0.67
0.24,0.36
3.48,0.25
5.64,0.81
6.63,0.76
3.42,0.90
-2.66,0.23
5.40,0.62
0.49,0.25
4.52,0.24
3.31,0.23
-3.02,0.30
-0.22,0.89
-6.37,0.16
-6.25,0.06
6.12,0.52
1.03,0.93
-6.54,0.76
0.15,0.10
-6.29,0.81
-2.72,0.04
0.58,0.88
2.71,0.26
3.64,0.21
-6.51,0.33
3.20,0.41
-3.03,0.88
-1.94,0.08
3.11,0.56
6.83,0.90
2.04,0.66
0.44,0.26
-2.50,0.60
0.61,0.73
-2.74,0.81
6.23,0.34
-2.81,0.85
-5.46,0.55
0.80,0.80
3.91,0.96
-6.75,0.71
5.18,0.05
5.90,0.75
-0.23,0.15
-6.77,0.33
0.34,0.70
-0.76,0.20
3.80,0.10
-2.67,0.36
5.60,0.55
2.51,0.55
6.25,0.65
-2.35,0.09
-2.38,0.39
-2.05,0.32
6.83,0.53
-5.72,0.51
1.67,0.34
-0.68,1.00
0.51,0.26
-0.36,0.19
-6.43,0.85
-4.95,0.59
2.61,0.39
0.90,0.92
3.80,0.37
-5.61,0.27
-2.66,0.84
-5.62,0.48
-2.87,0.15
2.55,0.16
6.57,0.67
-6.71,0.04
-6.88,0.10
6.42,0.74
-6.91,0.23
-6.29,0.62
-3.75,0.89
0.40,0.50
5.72,0.31
2.41,0.77
-0.46,0.77
-3.05,0.22
-6.48,0.61
6.37,0.25
-1.09,0.54
3.18,0.74
6.02,0.89
-0.60,0.15
6.94,0.15
-5.91,0.15
6.78,0.66
-6.18,0.35
6.10,0.93
0.43,0.43
-3.19,0.60
6.42,0.47
-2.96,0.13
0.47,0.85
0.67,0.45
-6.01,0.59
0.10,0.40
2.59,0.34
2.90,0.26
-6.63,0.72
6.37,0.49
6.26,0.49
2.88,0.08
-6.51,0.54
3.81,0.14
1.94,0.88
-3.06,0.26
5.26,0.94
-3.31,0.36
6.49,0.02
-3.51,0.95
-0.05,0.74
-6.95,0.57
6.25,0.43
2.86,0.55
-2.03,0.76
-5.95,0.77
0.95,0.20
-0.14,0.74
3.12,0.23
-4.40,0.48
2.59,0.52
-6.40,0.16
3.35,0.58
6.54,0.99
-2.83,0.92
3.02,0.23
2.35,0.16
3.62,0.68
-0.24,0.30
5.70,0.80
-5.89,1.00
-5.85,0.76
-0.23,0.08
-0.19,0.80
4.06,0.31
4.09,0.23
3.74,0.69
-5.79,0.17
2.97,0.95
6.23,0.19
3.53,0.67
-3.95,0.32
2.73,0.64
5.49,0.60
-3.07,0.09
3.03,0.41
-6.13,0.43
-6.44,0.80
5.53,0.24
0.42,0.45
2.90,0.99
-3.15,0.62
3.05,0.12
2.92,0.41
0.15,0.76
6.52,0.21
-0.21,0.11
6.82,0.12
0.36,0.35
-6.63,0.08
2.78,0.12
-5.81,0.33
-3.66,0.40
0.86,0.35
2.73,0.28
-4.40,0.23
1.88,0.13
0.09,0.59
-0.14,0.86
-3.44,0.37
-5.76,0.13
-6.10,0.58
2.07,0.54
3.11,0.76
-0.77,0.27
-6.41,0.98
3.49,0.14
6.11,0.73
3.65,0.67
-3.14,0.36
-0.03,0.17
-4.04,0.61
3.82,0.29
5.51,0.23
3.93,0.26
-6.45,0.19
-0.12,0.71
3.78,0.42
-2.84,0.34
-2.60,0.66
4.17,0.53
4.41,0.22
3.69,0.27
0.50,0.38
0.22,0.65
-6.76,0.85
-5.68,0.80
-5.78,0.79
5.50,0.58
-2.78,0.86
2.49,0.86
6.17,0.48
-5.44,0.82
0.24,0.17
2.72,0.58
-5.88,0.12
-2.69,0.51
3.16,0.38
5.43,0.70
6.31,0.02
-2.75,0.52
1.03,0.31
-0.52,0.21
-2.13,0.59
-0.57,0.49
-5.66,0.20
-6.40,0.41
-3.46,0.52
0.19,0.72
3.38,0.47
6.83,0.42
3.45,0.58
-2.60,0.97
-2.51,0.59
6.15,0.53
-6.86,0.40
-6.13,0.11
5.15,0.97
-3.01,0.62
2.79,0.00
5.63,1.00
-6.78,0.87
5.53,0.78
-5.72,0.82
-5.22,0.20
-6.27,0.18
-6.52,0.38
2.03,0.14
3.33,0.51
-6.89,0.53
0.94,0.94
-0.54,0.65
-0.38,0.00
3.23,0.46
6.58,0.17
6.88,0.42
6.35,0.87
-2.53,0.54
0.91,0.65
6.08,0.49
3.11,0.42
-3.11,0.33
-6.55,0.86
-5.43,0.67
-0.75,0.10
6.07,0.41
-3.44,1.00
1.90,0.33
-6.17,0.44
-0.35,0.02
-2.72,0.59
-3.48,0.83
3.19,0.84
5.86,0.47
5.90,0.60
-2.62,0.82
-3.32,0.16
5.87,0.04
3.11,0.85
-2.80,0.72
4.24,0.84
-0.35,0.83
3.58,0.54
2.80,0.66
-5.87,0.30
6.13,0.25
0.44,0.67
3.12,0.23
0.09,0.33
-0.84,0.22
-0.57,0.39
-6.24,0.37
-5.99,0.35
2.15,0.27
-5.99,0.93
-6.23,0.67
0.71,0.24
3.82,0.16
0.34,0.55
2.94,0.68
-0.73,0.63
6.21,0.69
6.74,0.05
5.40,0.84
-3.61,0.46
-3.93,0.55
-0.08,0.56
-3.23,0.49
-4.18,0.15
2.98,0.41
-6.24,0.73
-0.87,0.68
-6.41,0.74
-2.75,0.39
6.44,0.64
-3.09,0.99
3.48,0.34
-0.12,0.92
-3.52,0.18
-3.13,0.24
6.62,0.73
6.46,0.78
6.66,0.78
2.57,0.80
-3.07,0.98
-4.05,0.52
-2.75,0.08
-6.18,0.89
-2.97,0.81
-3.88,1.00
-2.61,0.81
-3.39,0.66
6.29,0.32
-2.17,0.44
2.69,0.26
0.18,0.78
-3.99,0.04
-2.76,0.35
5.42,0.89
-6.05,0.95
5.53,0.06
2.70,0.07
0.01,0.32
-0.80,0.27
6.64,0.17
3.43,0.52
2.27,0.84
-3.10,0.05
0.87,0.63
2.52,0.72
-0.61,0.24
2.98,0.08
6.67,0.63
-5.87,0.49
3.14,0.78
-0.85,0.14
3.86,0.15
-2.92,0.68
6.05,0.84
3.03,0.41
0.57,0.87
-2.48,0.36
0.64,0.65
2.80,0.87
7.00,0.01
-2.70,0.24
5.84,0.16
2.85,0.25
-0.28,0.42
-5.43,0.24
5.98,0.75
6.61,0.14
2.51,0.21
-0.64,0.89
6.45,0.83
0.14,0.26
-3.32,0.69
3.75,0.77
-6.32,0.75
-6.85,0.91
-0.73,0.26
3.29,0.45
-3.18,0.64
6.66,0.21
5.61,0.91
0.05,0.78
3.48,0.17
0.40,0.84
-2.44,0.16
-2.64,0.37
5.72,0.91
-5.71,0.68
-2.24,0.74
4.18,0.66
-1.96,0.92
3.55,0.66
2.86,0.08
6.05,0.26
3.57,0.45
0.68,0.47
-3.29,0.32
-4.20,0.68
4.10,0.36
3.88,0.56
0.59,0.97
2.60,0.72
-2.06,0.46
-2.26,0.37
3.35,0.52
3.36,0.75
2.94,0.27
5.80,0.52
6.50,0.23
-0.03,0.16
-3.24,0.58
-3.56,0.25
-1.01,0.15
3.28,0.27
-0.31,0.39
-3.37,0.17
0.47,0.31
-2.46,0.80
6.70,0.75
0.45,0.67
-2.76,0.09
0.52,0.55
-6.13,0.10
-3.45,0.89
-0.14,0.80
-6.39,0.22
-3.22,0.06
0.45,0.56
-6.31,0.44
6.26,0.24
-6.51,0.23
-6.54,0.75
6.82,0.72
-2.57,0.87
